large_zone,region,MFS01,MFS02,MFS03,MFS04,MFS05,MFS06,MFS07,MFS08,MFS09,MFS10,MFS11,MFS12,MFS13,MFS14,MFS15,MFS16,MFS17,MFS18,MFS19,MFS20,MFS21,MFS22,MFS23,MFS24,MFS25,MFS26,MFS27,MFS28,MFS29,MFS30,MFS31,MFS32,MFS33,MFS34,MFS35,MFS36,MFS37,MFS38,MFS39,MFS40,MFS41,MFS42,MFS43,MFS44,MFS45,MFS46,MFS47,MFS48,MFS49,MFS50,MFS51,MFS52,MFS53,MFS54,MFS55,MFS56,MFS57,MFS58,MFS59,MFS60,MFS61,MFS62,MFS63,MFS64,MFS65,MFS66,PRF01,PRF02,PRF03,PRF04,PRF05,PRF06,PRF07,PRF15,PRF16,PRF17,PRF18,PRF19,PRF20,PRF22,PRF21,PRF23,PRF24,PRF25,PRF26,PRF27,PRF28,PRF29,PRF30,PRF31,PRF32,PRF33,PRF34,PRF35,PRF36,PRF37,PRF38,PRF39,PRF40,PRF41,PRF42,PRF43,PRF44,PRF45,PRF46,PRF47
60,MFS61,38.0,18.0,7.0,45.0,15.0,11.0,49.0,19.0,10.0,13.0,7.0,1.0,19.0,4.0,12.0,52.0,16.0,26.0,3.0,0.0,6.0,0.0,32.0,4.0,13.0,40.0,109.0,93.0,40.0,383.0,13.0,11.0,37.0,90.0,57.0,18.0,4.0,35.0,60.0,4.0,10.0,27.0,3.0,103.0,10.0,33.0,3.0,42.0,45.0,4.0,5.0,7.0,4.0,4.0,26.0,16.0,309.0,1017.0,149.0,322.0,1029.0,0.0,7.0,43.0,0.0,0.0,110.5,26.1,27.3,56.8,19.3,23.3,44.2,30.8,17.0,16.6,11.6,25.8,65.2,99.0,10.6,56.9,11.5,9.1,15.0,57.6,29.5,5.1,5.0,2.5,3.5,10.9,17.0,8.2,4.2,5.4,6.9,3.3,27.8,4.1,6.4,8.5,6.2,5.0,7.5,6.2
61,MFS62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,MFS63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,19.0,4.0,3.0,13.0,24.0,3.0,0.0,4.0,8.0,4.0,3.0,9.0,0.0,4.0,13.0,3.0,8.0,0.0,6.0,4.0,3.0,0.0,15.0,1.0,1.0,3.0,0.0,0.0,20.0,175.0,3.0,12.0,13.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,MFS64,0.0,3.0,5.0,3.0,39.0,4.0,4.0,15.0,17.0,3.0,2.0,3.0,9.0,0.0,0.0,27.0,4.0,16.0,3.0,0.0,8.0,0.0,0.0,0.0,17.0,5.0,9.0,9.0,9.0,30.0,0.0,22.0,0.0,13.0,34.0,0.0,6.0,0.0,8.0,4.0,0.0,3.0,4.0,4.0,0.0,5.0,2.0,1.0,9.0,39.0,3.0,19.0,4.0,29.0,15.0,14.0,48.0,44.0,363.0,72.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,MFS65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,78.0,26.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,MFS66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,PRF01,123.8,227.9,24.1,112.3,47.5,574.6,72.4,98.6,73.4,32.4,21.6,293.4,28.1,48.6,50.0,47.2,21.2,29.9,4.7,1.4,87.1,16.9,9.4,23.8,87.5,67.3,71.6,60.8,109.4,87.8,24.5,36.7,44.3,104.8,92.5,8.3,38.9,43.6,120.2,45.7,16.2,81.4,17.3,20.5,16.6,23.0,63.4,34.2,35.6,38.9,51.5,9.0,14.4,21.2,99.4,35.6,140.4,74.5,83.9,58.3,40.3,0.0,0.0,0.0,0.0,0.0,3706.5,113.3,80.7,102.5,49.7,40.1,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,PRF02,29.2,53.8,5.7,26.5,11.2,135.7,17.1,23.3,17.3,7.7,5.1,69.3,6.6,11.5,11.8,11.1,5.0,7.1,1.1,0.3,20.6,4.0,2.2,5.6,20.7,15.9,16.9,14.4,25.8,20.7,5.8,8.7,10.5,24.7,21.8,2.0,9.2,10.3,28.4,10.8,3.8,19.2,4.1,4.8,3.9,5.4,15.0,8.1,8.4,9.2,12.2,2.1,3.4,5.0,23.5,8.4,33.2,17.6,19.8,13.8,9.5,0.0,0.0,0.0,0.0,0.0,113.3,875.1,105.9,67.7,71.2,27.1,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,PRF03,30.6,56.3,6.0,27.8,11.7,142.0,17.9,24.4,18.2,8.0,5.3,72.5,6.9,12.0,12.4,11.7,5.3,7.4,1.2,0.4,21.5,4.2,2.3,5.9,21.6,16.6,17.7,15.0,27.1,21.7,6.1,9.1,10.9,25.9,22.9,2.0,9.6,10.8,29.7,11.3,4.0,20.1,4.3,5.1,4.1,5.7,15.7,8.5,8.8,9.6,12.7,2.2,3.6,5.3,24.6,8.8,34.7,18.4,20.7,14.4,10.0,0.0,0.0,0.0,0.0,0.0,80.7,105.9,916.3,166.2,135.6,59.2,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,PRF04,63.6,117.1,12.4,57.7,24.4,295.3,37.2,50.7,37.7,16.6,11.1,150.8,14.4,25.0,25.7,24.2,10.9,15.4,2.4,0.7,44.8,8.7,4.8,12.2,45.0,34.6,36.8,31.3,56.2,45.1,12.6,18.9,22.8,53.8,47.5,4.3,20.0,22.4,61.8,23.5,8.3,41.8,8.9,10.5,8.5,11.8,32.6,17.6,18.3,20.0,26.5,4.6,7.4,10.9,51.1,18.3,72.2,38.3,43.1,30.0,20.7,0.0,0.0,0.0,0.0,0.0,102.5,67.7,166.2,1904.7,104.2,818.9,986.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,PRF05,21.7,39.9,4.2,19.7,8.3,100.5,12.7,17.3,12.9,5.7,3.8,51.3,4.9,8.5,8.8,8.3,3.7,5.2,0.8,0.3,15.2,3.0,1.6,4.2,15.3,11.8,12.5,10.6,19.2,15.4,4.3,6.4,7.7,18.3,16.2,1.4,6.8,7.6,21.0,8.0,2.8,14.2,3.0,3.6,2.9,4.0,11.1,6.0,6.2,6.8,9.0,1.6,2.5,3.7,17.4,6.2,24.6,13.0,14.7,10.2,7.1,0.0,0.0,0.0,0.0,0.0,49.7,71.2,135.6,104.2,648.6,46.2,56.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,PRF06,26.1,48.1,5.1,23.7,10.0,121.3,15.3,20.8,15.5,6.8,4.6,61.9,5.9,10.3,10.6,10.0,4.5,6.3,1.0,0.3,18.4,3.6,2.0,5.0,18.5,14.2,15.1,12.8,23.1,18.5,5.2,7.8,9.3,22.1,19.5,1.7,8.2,9.2,25.4,9.7,3.4,17.2,3.6,4.3,3.5,4.9,13.4,7.2,7.5,8.2,10.9,1.9,3.0,4.5,21.0,7.5,29.6,15.7,17.7,12.3,8.5,0.0,0.0,0.0,0.0,0.0,40.1,27.1,59.2,818.9,46.2,782.5,542.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,PRF07,49.5,91.2,9.6,44.9,19.0,229.8,28.9,39.5,29.4,13.0,8.6,117.4,11.2,19.4,20.0,18.9,8.5,12.0,1.9,0.6,34.8,6.8,3.7,9.5,35.0,26.9,28.7,24.3,43.8,35.1,9.8,14.7,17.7,41.9,37.0,3.3,15.6,17.4,48.1,18.3,6.5,32.5,6.9,8.2,6.6,9.2,25.3,13.7,14.3,15.6,20.6,3.6,5.8,8.5,39.7,14.3,56.2,29.8,33.6,23.3,16.1,0.0,0.0,0.0,0.0,0.0,67.6,39.8,78.3,986.7,56.7,542.6,1482.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,PRF15,143.0,39.3,22.7,92.7,4.1,48.2,37.7,50.6,32.0,25.9,25.5,42.1,8.9,18.2,17.8,12.6,12.2,38.1,4.1,4.1,25.5,24.3,12.2,6.9,40.5,32.0,34.8,34.0,65.2,57.9,8.1,18.2,36.0,76.1,37.7,23.9,3.6,23.9,25.9,15.8,8.1,45.4,8.1,19.4,8.5,11.3,26.3,9.7,23.1,6.5,13.0,4.9,10.1,19.0,48.2,10.9,135.3,50.6,37.7,34.8,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4169.8,620.9,443.7,204.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,PRF16,79.1,21.7,12.5,51.3,2.2,26.7,20.8,28.0,17.7,14.3,14.1,23.3,4.9,10.1,9.9,6.9,6.7,21.1,2.2,2.2,14.1,13.4,6.7,3.8,22.4,17.7,19.3,18.8,36.1,32.0,4.5,10.1,19.9,42.1,20.8,13.2,2.0,13.2,14.3,8.7,4.5,25.1,4.5,10.8,4.7,6.3,14.6,5.4,12.8,3.6,7.2,2.7,5.6,10.5,26.7,6.0,74.8,28.0,20.8,19.3,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.9,2306.2,2605.3,474.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,PRF17,77.3,21.2,12.3,50.2,2.2,26.1,20.4,27.4,17.3,14.0,13.8,22.8,4.8,9.9,9.6,6.8,6.6,20.6,2.2,2.2,13.8,13.1,6.6,3.7,21.9,17.3,18.8,18.4,35.3,31.3,4.4,9.9,19.5,41.2,20.4,12.9,2.0,12.9,14.0,8.5,4.4,24.5,4.4,10.5,4.6,6.1,14.2,5.3,12.5,3.5,7.0,2.6,5.5,10.3,26.1,5.9,73.1,27.4,20.4,18.8,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.7,2605.3,2254.8,801.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,PRF18,53.7,14.7,8.5,34.8,1.5,18.1,14.1,19.0,12.0,9.7,9.6,15.8,3.3,6.8,6.7,4.7,4.6,14.3,1.5,1.5,9.6,9.1,4.6,2.6,15.2,12.0,13.1,12.8,24.5,21.7,3.0,6.8,13.5,28.6,14.1,9.0,1.4,9.0,9.7,5.9,3.0,17.0,3.0,7.3,3.2,4.3,9.9,3.6,8.7,2.4,4.9,1.8,3.8,7.1,18.1,4.1,50.8,19.0,14.1,13.1,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.4,474.9,801.1,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,PRF19,17.6,42.0,9.1,19.6,1.7,19.3,17.0,59.4,43.2,13.3,5.7,18.5,25.6,13.6,31.5,13.1,8.5,46.3,0.0,0.9,11.9,13.6,11.1,10.8,15.6,30.1,36.1,17.9,45.4,11.4,8.0,20.7,11.4,21.9,23.0,6.0,19.6,13.6,10.2,6.0,7.4,23.3,1.7,4.0,9.7,5.4,11.9,8.0,6.0,6.2,5.4,6.5,0.0,0.9,12.2,6.5,64.8,31.8,9.4,31.8,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2924.0,6789.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,PRF20,44.4,106.0,22.9,49.4,4.3,48.7,43.0,149.6,108.8,33.7,14.3,46.5,64.4,34.4,79.5,32.9,21.5,116.7,0.0,2.1,30.1,34.4,27.9,27.2,39.4,75.9,90.9,45.1,114.6,28.6,20.0,52.3,28.6,55.1,58.0,15.0,49.4,34.4,25.8,15.0,18.6,58.7,4.3,10.0,24.3,13.6,30.1,20.0,15.0,15.8,13.6,16.5,0.0,2.1,30.8,16.5,163.2,80.2,23.6,80.2,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6789.2,7371.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,PRF22,25.0,165.0,48.0,66.0,27.0,157.0,108.0,121.0,100.0,45.0,272.0,253.0,52.0,70.0,213.0,256.0,16.0,62.0,0.0,8.0,174.0,72.0,106.0,70.0,239.0,158.0,91.0,183.0,153.0,209.0,41.0,47.0,65.0,73.0,73.0,25.0,30.0,66.0,104.0,84.0,103.0,76.0,12.0,24.0,5.0,42.0,207.0,33.0,38.0,18.0,35.0,20.0,6.0,25.0,52.0,42.0,220.0,142.0,95.0,120.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10295.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,PRF21,41.9,65.6,12.7,30.2,5.9,27.7,23.2,22.1,18.9,8.9,9.2,43.5,6.7,11.6,12.3,20.0,5.8,15.5,0.9,0.7,15.5,11.7,6.4,4.6,28.2,18.9,19.9,14.7,29.7,33.9,1.8,8.9,17.5,24.5,12.3,3.2,2.0,8.0,25.6,9.8,10.3,19.3,8.9,16.8,1.9,4.4,8.1,17.0,9.1,7.5,7.2,5.2,2.6,9.7,15.0,3.8,39.1,20.1,17.7,15.6,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.5,315.8,34.1,28.3,31.1,72.8,28.5,6.1,3.7,1.5,0.9,4.9,4.1,1.5,2.2,2.4,1.7,1.0,3.6,0.5,0.7,1.1,1.0,0.6,0.8,0.3
81,PRF23,224.5,351.4,68.0,162.1,31.9,148.3,124.1,118.5,101.3,47.6,49.4,233.1,35.8,62.1,66.1,107.2,30.9,83.0,4.9,3.9,82.9,62.6,34.3,24.7,151.2,101.4,106.7,78.9,159.1,181.7,9.9,47.6,93.6,131.1,66.0,17.0,10.6,42.6,137.4,52.3,55.1,103.3,47.6,90.2,10.4,23.5,43.5,91.4,48.6,40.1,38.7,27.6,14.2,51.8,80.6,20.5,209.7,107.6,95.0,83.9,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.8,1755.3,247.6,135.7,144.4,374.1,143.7,34.7,19.7,7.0,4.7,24.8,21.1,7.5,11.4,12.2,8.9,5.0,18.9,2.6,3.6,5.7,5.3,3.3,4.1,1.4
82,PRF24,45.2,70.8,13.7,32.7,6.4,29.9,25.0,23.9,20.4,9.6,10.0,47.0,7.2,12.5,13.3,21.6,6.2,16.7,1.0,0.8,16.7,12.6,6.9,5.0,30.5,20.4,21.5,15.9,32.0,36.6,2.0,9.6,18.9,26.4,13.3,3.4,2.1,8.6,27.7,10.5,11.1,20.8,9.6,18.2,2.1,4.7,8.8,18.4,9.8,8.1,7.8,5.6,2.9,10.4,16.2,4.1,42.3,21.7,19.1,16.9,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,247.6,353.7,54.1,48.3,141.6,46.5,17.0,6.7,1.6,1.1,6.4,5.0,1.7,3.3,3.3,2.2,1.3,4.3,0.6,0.8,1.3,1.3,0.8,0.9,0.3
83,PRF25,35.7,55.9,10.8,25.8,5.1,23.6,19.8,18.9,16.1,7.6,7.9,37.1,5.7,9.9,10.5,17.1,4.9,13.2,0.8,0.6,13.2,10.0,5.5,3.9,24.1,16.1,17.0,12.6,25.3,28.9,1.6,7.6,14.9,20.9,10.5,2.7,1.7,6.8,21.9,8.3,8.8,16.4,7.6,14.4,1.7,3.7,6.9,14.5,7.7,6.4,6.2,4.4,2.3,8.3,12.8,3.3,33.4,17.1,15.1,13.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,135.7,54.1,279.4,71.1,203.0,59.5,13.6,6.4,1.8,1.0,6.5,4.6,1.5,3.1,3.2,1.9,1.1,3.7,0.5,0.7,1.1,1.1,0.6,0.8,0.2
84,PRF26,59.2,92.6,17.9,42.8,8.4,39.1,32.7,31.2,26.7,12.5,13.0,61.5,9.4,16.4,17.4,28.3,8.1,21.9,1.3,1.0,21.8,16.5,9.0,6.5,39.9,26.7,28.1,20.8,41.9,47.9,2.6,12.5,24.7,34.6,17.4,4.5,2.8,11.2,36.2,13.8,14.5,27.2,12.5,23.8,2.7,6.2,11.5,24.1,12.8,10.6,10.2,7.3,3.7,13.7,21.3,5.4,55.3,28.4,25.0,22.1,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,144.4,48.3,71.1,462.8,451.9,158.0,22.9,13.1,3.9,1.9,13.4,8.7,2.8,6.3,6.5,3.6,2.1,6.6,0.9,1.2,2.0,1.9,1.1,1.4,0.4
85,PRF27,227.3,355.7,68.9,164.1,32.3,150.2,125.7,120.0,102.5,48.2,50.1,235.9,36.2,62.8,67.0,108.6,31.2,84.1,5.0,4.0,83.9,63.3,34.7,25.0,153.1,102.7,108.1,79.9,161.0,184.0,10.0,48.2,94.8,132.7,66.8,17.3,10.7,43.2,139.1,53.0,55.8,104.6,48.2,91.3,10.5,23.8,44.0,92.5,49.2,40.6,39.2,28.0,14.3,52.5,81.6,20.7,212.3,108.9,96.1,84.9,70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,374.1,141.6,203.0,451.9,1777.1,886.8,153.5,112.4,15.2,7.9,66.2,38.2,12.0,38.2,34.5,16.7,10.5,27.7,3.8,5.0,8.3,8.4,4.9,5.7,1.6
86,PRF28,116.2,181.8,35.2,83.9,16.5,76.7,64.2,61.3,52.4,24.6,25.6,120.6,18.5,32.1,34.2,55.5,16.0,43.0,2.6,2.0,42.9,32.4,17.7,12.8,78.2,52.5,55.2,40.8,82.3,94.0,5.1,24.6,48.4,67.8,34.1,8.8,5.5,22.1,71.1,27.1,28.5,53.5,24.6,46.7,5.4,12.2,22.5,47.3,25.1,20.7,20.0,14.3,7.3,26.8,41.7,10.6,108.5,55.7,49.1,43.4,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,143.7,46.5,59.5,158.0,886.8,908.2,48.0,73.7,10.0,4.8,48.5,23.2,7.0,27.3,25.2,10.1,6.4,15.6,2.1,2.8,4.7,4.8,2.7,3.1,0.8
87,PRF29,20.1,31.5,6.1,14.5,2.9,13.3,11.1,10.6,9.1,4.3,4.4,20.9,3.2,5.6,5.9,9.6,2.8,7.4,0.4,0.4,7.4,5.6,3.1,2.2,13.5,9.1,9.6,7.1,14.2,16.3,0.9,4.3,8.4,11.7,5.9,1.5,0.9,3.8,12.3,4.7,4.9,9.3,4.3,8.1,0.9,2.1,3.9,8.2,4.4,3.6,3.5,2.5,1.3,4.6,7.2,1.8,18.8,9.6,8.5,7.5,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,34.7,17.0,13.6,22.9,153.5,48.0,157.2,9.4,0.9,0.6,4.4,2.9,1.0,3.0,2.4,1.3,0.9,2.3,0.3,0.4,0.7,0.7,0.4,0.5,0.1
88,PRF30,19.5,30.6,5.9,14.1,2.8,12.9,10.8,10.3,8.8,4.1,4.3,20.3,3.1,5.4,5.8,9.3,2.7,7.2,0.4,0.3,7.2,5.4,3.0,2.2,13.2,8.8,9.3,6.9,13.8,15.8,0.9,4.1,8.1,11.4,5.7,1.5,0.9,3.7,12.0,4.6,4.8,9.0,4.1,7.9,0.9,2.0,3.8,8.0,4.2,3.5,3.4,2.4,1.2,4.5,7.0,1.8,18.3,9.4,8.3,7.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,19.7,6.7,6.4,13.1,112.4,73.7,9.4,152.8,1.1,0.7,7.3,3.9,1.2,8.6,4.7,1.9,1.4,2.7,0.4,0.5,0.8,0.9,0.5,0.6,0.1
89,PRF31,10.1,15.7,3.0,7.3,1.4,6.6,5.6,5.3,4.5,2.1,2.2,10.4,1.6,2.8,3.0,4.8,1.4,3.7,0.2,0.2,3.7,2.8,1.5,1.1,6.8,4.5,4.8,3.5,7.1,8.1,0.4,2.1,4.2,5.9,3.0,0.8,0.5,1.9,6.2,2.3,2.5,4.6,2.1,4.0,0.5,1.1,1.9,4.1,2.2,1.8,1.7,1.2,0.6,2.3,3.6,0.9,9.4,4.8,4.3,3.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.0,1.6,1.8,3.9,15.2,10.0,0.9,1.1,78.6,0.9,5.3,2.8,0.8,1.0,1.7,0.9,0.5,1.6,0.2,0.3,0.4,0.5,0.2,0.3,0.1
90,PRF32,14.0,21.9,4.2,10.1,2.0,9.2,7.7,7.4,6.3,3.0,3.1,14.5,2.2,3.9,4.1,6.7,1.9,5.2,0.3,0.2,5.2,3.9,2.1,1.5,9.4,6.3,6.6,4.9,9.9,11.3,0.6,3.0,5.8,8.2,4.1,1.1,0.7,2.7,8.5,3.3,3.4,6.4,3.0,5.6,0.6,1.5,2.7,5.7,3.0,2.5,2.4,1.7,0.9,3.2,5.0,1.3,13.0,6.7,5.9,5.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,4.7,1.1,1.0,1.9,7.9,4.8,0.6,0.7,0.9,109.2,3.7,8.5,2.3,0.7,1.4,1.8,0.6,3.8,0.5,0.5,0.9,1.0,0.4,0.5,0.1
