large_zone,region,MFS01,MFS02,MFS03,MFS04,MFS05,MFS06,MFS07,MFS08,MFS09,MFS10,MFS11,MFS12,MFS13,MFS14,MFS15,MFS16,MFS17,MFS18,MFS19,MFS20,MFS21,MFS25,MFS26,MFS27,MFS28,MFS29,MFS30,MFS31,MFS32,MFS33,MFS38,MFS39,MFS40,MFS41,MFS42,MFS43,MFS44,MFS22,MFS23,MFS24,MFS34,MFS35,MFS36,MFS37,MFS45,MFS46,MFS47,MFS48,MFS49,MFS50,MFS51,MFS52,MFS53,MFS54,MFS55,MFS56,MFS57,MFS58,MFS65,MFS66,MFS59,MFS60,MFS61,MFS64,MFS63,MFS67,MFS68,MFS69,MFS70,MFS71,PRF01,PRF02,PRF03,PRF04,PRF05,PRF06,PRF07,PRF15,PRF16,PRF17,PRF18,PRF19,PRF20,PRF22,PRF21,PRF23,PRF24,PRF31,PRF32,PRF33,PRF34,PRF35,PRF36,PRF37,PRF38,PRF39,PRF40,PRF41,PRF42,PRF43,PRF44,PRF45,PRF46,PRF47,OSK01,OSK02,OSK03,OSK04,OSK05,OSK06,OSK07,OSK08,OSK09,OSK10,OSK11,OSK12,OSK13,OSK14,OSK15,OSK16,OSK17,OSK18,OSK19,OSK20,OSK21,OSK22,OSK23,OSK24,OSK25,OSK26,OSK27,OSK28,OSK29,OSK30
47,MFS48,96.0,108.0,57.0,126.0,90.0,103.0,87.0,75.0,31.0,14.0,16.0,35.0,21.0,47.0,76.0,45.0,25.0,36.0,5.0,3.0,22.0,61.0,41.0,88.0,90.0,134.0,166.0,9.0,18.0,36.0,64.0,63.0,239.0,168.0,170.0,22.0,25.0,17.0,3.0,115.0,91.0,28.0,5.0,0.0,0.0,28.0,69.0,1635.0,223.0,591.0,207.0,667.0,102.0,231.0,795.0,78.0,85.0,33.0,7.0,0.0,156.0,63.0,24.0,33.0,43.0,0.0,0.0,0.0,0.0,0.0,172.1,40.6,42.5,88.4,30.1,36.3,68.8,59.9,33.2,32.4,22.5,32.4,81.6,110.0,30.2,162.0,32.6,7.3,10.1,31.0,48.3,23.4,12.1,15.3,19.7,9.3,79.0,11.7,18.1,24.2,17.7,14.1,21.4,17.7,16.2,6.3,3.3,2.2,13.3,2.7,24.5,14.2,83.7,3.5,10.8,7.7,44.1,21.5,5.6,10.3,1.3,1.9,12.8,3.4,27.1,8.0,5.1,0.1,1.2,12.8,0.5,0.3,0.5,0.0
48,MFS49,75.0,72.0,53.0,86.0,37.0,25.0,62.0,62.0,47.0,12.0,30.0,8.0,18.0,20.0,17.0,36.0,18.0,48.0,4.0,0.0,9.0,19.0,66.0,84.0,56.0,74.0,138.0,5.0,24.0,44.0,61.0,56.0,65.0,60.0,76.0,9.0,6.0,17.0,13.0,6.0,246.0,16.0,0.0,0.0,0.0,15.0,10.0,111.0,948.0,53.0,171.0,79.0,11.0,17.0,94.0,148.0,60.0,69.0,0.0,0.0,155.0,205.0,36.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,126.7,29.9,31.3,65.1,22.2,26.8,50.7,44.1,24.4,23.9,16.6,18.2,45.8,162.0,15.9,85.2,17.2,3.8,5.3,16.3,25.4,12.3,6.4,8.1,10.4,4.9,41.6,6.1,9.5,12.7,9.3,7.4,11.2,9.3,8.6,3.3,1.7,1.2,7.0,1.4,12.9,7.5,44.0,1.9,5.7,4.0,23.2,11.3,2.9,5.4,0.7,1.0,6.7,1.8,14.2,4.2,2.7,0.1,0.6,6.7,0.3,0.1,0.3,0.0
49,MFS50,33.0,31.0,15.0,19.0,9.0,0.0,16.0,14.0,14.0,0.0,3.0,10.0,7.0,8.0,16.0,13.0,0.0,9.0,4.0,0.0,0.0,17.0,2.0,9.0,12.0,12.0,35.0,1.0,0.0,0.0,11.0,12.0,31.0,10.0,21.0,11.0,9.0,0.0,6.0,3.0,18.0,3.0,3.0,0.0,0.0,3.0,4.0,350.0,126.0,766.0,107.0,183.0,48.0,16.0,91.0,115.0,8.0,4.0,3.0,0.0,30.0,11.0,22.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,7.1,7.4,15.4,5.2,6.3,12.0,8.1,4.5,4.4,3.0,4.5,11.5,16.0,6.0,32.2,6.5,1.4,2.0,6.2,9.6,4.6,2.4,3.0,3.9,1.8,15.7,2.3,3.6,4.8,3.5,2.8,4.2,3.5,3.2,1.2,0.7,0.4,2.6,0.5,4.9,2.8,16.6,0.7,2.1,1.5,8.8,4.3,1.1,2.0,0.3,0.4,2.6,0.7,5.4,1.6,1.0,0.0,0.2,2.5,0.1,0.1,0.1,0.0
50,MFS51,67.0,64.0,24.0,38.0,39.0,47.0,116.0,44.0,33.0,15.0,7.0,44.0,18.0,16.0,34.0,35.0,15.0,25.0,6.0,0.0,17.0,29.0,16.0,75.0,65.0,89.0,139.0,24.0,18.0,43.0,58.0,71.0,83.0,68.0,76.0,9.0,13.0,14.0,3.0,0.0,82.0,27.0,9.0,3.0,13.0,24.0,13.0,110.0,199.0,62.0,285.0,183.0,27.0,28.0,96.0,37.0,45.0,36.0,6.0,0.0,42.0,57.0,18.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,133.2,31.5,32.9,68.5,23.3,28.1,53.3,40.9,22.6,22.1,15.4,23.0,58.0,62.0,14.0,74.8,15.1,3.4,4.7,14.3,22.3,10.8,5.6,7.1,9.1,4.3,36.5,5.4,8.4,11.2,8.2,6.5,9.9,8.2,7.5,2.9,1.5,1.0,6.1,1.3,11.3,6.5,38.7,1.6,5.0,3.5,20.4,9.9,2.6,4.7,0.6,0.9,5.9,1.6,12.5,3.7,2.4,0.1,0.6,5.9,0.2,0.1,0.2,0.0
51,MFS52,43.0,31.0,14.0,33.0,7.0,25.0,171.0,13.0,6.0,0.0,10.0,0.0,9.0,13.0,5.0,32.0,0.0,13.0,3.0,0.0,9.0,20.0,44.0,53.0,30.0,36.0,92.0,3.0,22.0,30.0,22.0,36.0,106.0,27.0,101.0,8.0,0.0,9.0,0.0,3.0,54.0,38.0,7.0,0.0,3.0,12.0,6.0,166.0,28.0,297.0,72.0,1463.0,157.0,12.0,49.0,35.0,24.0,12.0,3.0,0.0,34.0,22.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,12.2,12.7,26.5,9.0,10.9,20.6,15.0,8.3,8.1,5.6,8.2,20.8,48.0,10.9,58.5,11.8,2.6,3.6,11.2,17.5,8.4,4.4,5.5,7.1,3.3,28.5,4.2,6.5,8.7,6.4,5.1,7.7,6.4,5.8,2.3,1.2,0.8,4.8,1.0,8.8,5.1,30.2,1.3,3.9,2.8,15.9,7.8,2.0,3.7,0.5,0.7,4.6,1.2,9.8,2.9,1.8,0.1,0.4,4.6,0.2,0.1,0.2,0.0
52,MFS53,31.0,40.0,51.0,0.0,0.0,5.0,9.0,30.0,13.0,0.0,0.0,0.0,11.0,16.0,14.0,9.0,3.0,26.0,11.0,0.0,0.0,4.0,6.0,23.0,23.0,17.0,8.0,0.0,0.0,7.0,34.0,28.0,52.0,3.0,97.0,25.0,6.0,18.0,0.0,0.0,7.0,5.0,0.0,3.0,0.0,21.0,10.0,115.0,18.0,51.0,3.0,130.0,323.0,16.0,29.0,2.0,3.0,9.0,0.0,0.0,6.0,3.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,7.6,1.8,1.9,3.9,1.3,1.6,3.0,4.5,2.5,2.4,1.7,2.3,5.7,6.0,3.4,18.2,3.7,0.8,1.1,3.5,5.4,2.6,1.4,1.7,2.2,1.0,8.9,1.3,2.0,2.7,2.0,1.6,2.4,2.0,1.8,0.7,0.4,0.2,1.5,0.3,2.8,1.6,9.4,0.4,1.2,0.9,5.0,2.4,0.6,1.2,0.1,0.2,1.4,0.4,3.0,0.9,0.6,0.0,0.1,1.5,0.1,0.0,0.1,0.0
53,MFS54,59.0,40.0,122.0,75.0,19.0,21.0,49.0,39.0,7.0,7.0,36.0,52.0,16.0,1381.0,43.0,23.0,29.0,8.0,21.0,0.0,12.0,27.0,15.0,67.0,23.0,74.0,101.0,2.0,22.0,24.0,43.0,109.0,47.0,23.0,66.0,29.0,26.0,20.0,3.0,12.0,102.0,20.0,26.0,3.0,12.0,146.0,16.0,124.0,43.0,12.0,42.0,32.0,48.0,1806.0,232.0,28.0,129.0,250.0,9.0,0.0,71.0,38.0,34.0,41.0,13.0,0.0,0.0,0.0,0.0,0.0,181.1,42.8,44.8,93.1,31.7,38.2,72.4,82.2,45.5,44.5,30.9,29.8,75.2,119.0,22.7,121.9,24.6,5.5,7.6,23.3,36.4,17.6,9.1,11.5,14.9,7.0,59.4,8.8,13.6,18.2,13.3,10.6,16.1,13.3,12.2,4.7,2.5,1.7,10.0,2.0,18.4,10.7,63.0,2.7,8.1,5.8,33.2,16.2,4.2,7.7,1.0,1.4,9.6,2.6,20.4,6.0,3.8,0.1,0.9,9.6,0.4,0.2,0.4,0.0
54,MFS55,338.0,118.0,61.0,120.0,16.0,61.0,150.0,88.0,24.0,13.0,15.0,5.0,19.0,13.0,33.0,27.0,3.0,28.0,8.0,3.0,16.0,38.0,23.0,78.0,63.0,78.0,62.0,4.0,11.0,8.0,66.0,35.0,41.0,6.0,145.0,19.0,14.0,11.0,16.0,2.0,28.0,22.0,4.0,4.0,16.0,37.0,44.0,667.0,174.0,162.0,46.0,186.0,55.0,375.0,5463.0,193.0,41.0,51.0,10.0,0.0,155.0,84.0,15.0,140.0,729.0,0.0,0.0,0.0,0.0,0.0,273.2,64.5,67.6,140.4,47.8,57.7,109.3,62.4,34.5,33.7,23.4,27.5,69.5,128.0,22.6,121.0,24.4,5.4,7.5,23.2,36.1,17.5,9.0,11.4,14.8,6.9,59.0,8.7,13.5,18.1,13.2,10.5,16.0,13.2,12.1,4.7,2.5,1.7,9.9,2.0,18.3,10.6,62.5,2.6,8.1,5.7,32.9,16.0,4.2,7.7,1.0,1.4,9.6,2.6,20.2,6.0,3.8,0.1,0.9,9.5,0.4,0.2,0.4,0.0
55,MFS56,22.0,33.0,24.0,30.0,18.0,30.0,29.0,17.0,28.0,13.0,14.0,11.0,15.0,28.0,51.0,11.0,0.0,19.0,11.0,0.0,25.0,22.0,28.0,36.0,22.0,32.0,53.0,0.0,16.0,12.0,24.0,42.0,29.0,29.0,31.0,1.0,11.0,6.0,3.0,0.0,47.0,13.0,3.0,0.0,0.0,3.0,3.0,64.0,183.0,62.0,47.0,55.0,13.0,32.0,146.0,731.0,32.0,32.0,3.0,0.0,146.0,169.0,44.0,53.0,11.0,0.0,0.0,0.0,0.0,0.0,73.8,17.4,18.2,37.9,12.9,15.6,29.5,20.2,11.2,10.9,7.6,39.5,99.5,57.0,10.8,58.1,11.7,2.6,3.6,11.1,17.4,8.4,4.3,5.5,7.1,3.3,28.3,4.2,6.5,8.7,6.4,5.1,7.7,6.4,5.8,2.3,1.2,0.8,4.8,1.0,8.8,5.1,30.1,1.3,3.9,2.8,15.8,7.7,2.0,3.7,0.5,0.7,4.6,1.2,9.7,2.9,1.8,0.1,0.4,4.6,0.2,0.1,0.2,0.0
56,MFS57,135.0,91.0,61.0,106.0,20.0,132.0,108.0,156.0,72.0,41.0,19.0,33.0,35.0,49.0,39.0,63.0,3.0,55.0,49.0,6.0,43.0,78.0,63.0,153.0,148.0,461.0,191.0,23.0,78.0,142.0,29.0,104.0,69.0,53.0,72.0,26.0,24.0,100.0,25.0,3.0,247.0,437.0,326.0,43.0,11.0,31.0,66.0,59.0,54.0,26.0,35.0,27.0,0.0,30.0,145.0,36.0,9168.0,1862.0,765.0,94.0,185.0,177.0,146.0,78.0,14.0,0.0,0.0,0.0,0.0,0.0,343.1,81.0,84.8,176.3,60.0,72.4,137.2,213.8,118.3,115.6,80.3,168.4,424.6,279.0,61.4,329.2,66.3,14.7,20.5,63.1,98.3,47.5,24.6,31.1,40.1,18.8,160.5,23.7,36.9,49.1,36.0,28.7,43.4,36.0,33.0,12.7,6.7,4.5,27.0,5.5,49.8,28.8,170.1,7.2,22.0,15.6,89.6,43.6,11.3,20.9,2.6,3.9,26.0,6.9,55.0,16.3,10.4,0.3,2.5,26.0,1.1,0.6,1.0,0.0
57,MFS58,53.0,87.0,55.0,71.0,19.0,31.0,64.0,63.0,26.0,69.0,27.0,16.0,7.0,9.0,20.0,272.0,4.0,53.0,14.0,0.0,6.0,16.0,42.0,191.0,68.0,451.0,109.0,12.0,69.0,128.0,23.0,55.0,47.0,44.0,24.0,25.0,13.0,15.0,0.0,10.0,318.0,283.0,68.0,33.0,0.0,6.0,13.0,23.0,91.0,12.0,18.0,104.0,2.0,22.0,25.0,101.0,1052.0,5023.0,142.0,7.0,210.0,203.0,540.0,219.0,9.0,0.0,0.0,0.0,0.0,0.0,156.6,37.0,38.7,80.5,27.4,33.1,62.6,69.7,38.5,37.7,26.1,61.9,156.1,81.0,35.2,188.9,38.1,8.5,11.7,36.2,56.4,27.3,14.1,17.9,23.0,10.8,92.1,13.6,21.1,28.2,20.7,16.4,24.9,20.7,18.9,7.3,3.9,2.6,15.5,3.2,28.6,16.5,97.6,4.1,12.6,9.0,51.4,25.0,6.5,12.0,1.5,2.2,14.9,4.0,31.6,9.3,6.0,0.2,1.4,14.9,0.6,0.3,0.6,0.0
58,MFS65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,78.0,26.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,MFS66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,MFS59,157.0,125.0,105.0,233.0,33.0,133.0,145.0,87.0,91.0,4.0,27.0,22.0,26.0,61.0,66.0,60.0,39.0,76.0,26.0,0.0,44.0,146.0,110.0,113.0,97.0,263.0,180.0,31.0,68.0,35.0,63.0,97.0,106.0,40.0,77.0,8.0,19.0,35.0,9.0,8.0,133.0,102.0,45.0,30.0,21.0,42.0,42.0,118.0,90.0,43.0,95.0,112.0,26.0,188.0,261.0,313.0,291.0,217.0,71.0,5.0,4897.0,1435.0,327.0,2157.0,51.0,0.0,0.0,0.0,0.0,0.0,302.8,71.5,74.8,155.6,53.0,63.9,121.1,102.5,56.7,55.4,38.5,48.6,122.4,212.0,32.6,174.9,35.2,7.8,10.9,33.5,52.2,25.2,13.1,16.5,21.3,10.0,85.3,12.6,19.6,26.1,19.1,15.2,23.1,19.1,17.5,6.7,3.6,2.4,14.3,2.9,26.4,15.3,90.4,3.8,11.7,8.3,47.6,23.2,6.0,11.1,1.4,2.1,13.8,3.7,29.2,8.7,5.5,0.2,1.3,13.8,0.6,0.3,0.5,0.0
61,MFS60,72.0,90.0,39.0,127.0,4.0,45.0,64.0,66.0,41.0,5.0,7.0,50.0,24.0,42.0,51.0,67.0,43.0,70.0,21.0,12.0,116.0,33.0,31.0,121.0,37.0,91.0,100.0,10.0,19.0,53.0,79.0,143.0,19.0,39.0,68.0,14.0,19.0,23.0,16.0,0.0,179.0,67.0,5.0,0.0,9.0,6.0,27.0,65.0,348.0,44.0,111.0,39.0,3.0,10.0,98.0,301.0,157.0,163.0,5.0,0.0,848.0,2039.0,134.0,179.0,27.0,0.0,0.0,0.0,0.0,0.0,234.4,55.3,57.9,120.4,41.0,49.5,93.7,74.9,41.4,40.5,28.1,56.8,143.2,172.0,32.2,172.7,34.8,7.7,10.7,33.1,51.6,24.9,12.9,16.3,21.1,9.9,84.2,12.5,19.3,25.8,18.9,15.0,22.8,18.9,17.3,6.7,3.5,2.4,14.1,2.9,26.1,15.1,89.2,3.8,11.5,8.2,47.0,22.9,5.9,11.0,1.4,2.0,13.7,3.6,28.9,8.6,5.5,0.2,1.3,13.6,0.6,0.3,0.5,0.0
62,MFS61,38.0,18.0,7.0,45.0,15.0,11.0,49.0,19.0,10.0,13.0,7.0,1.0,19.0,4.0,12.0,52.0,16.0,26.0,3.0,0.0,6.0,13.0,40.0,109.0,93.0,40.0,383.0,13.0,11.0,37.0,35.0,60.0,4.0,10.0,27.0,3.0,103.0,0.0,32.0,4.0,90.0,57.0,18.0,4.0,10.0,33.0,3.0,42.0,45.0,4.0,5.0,7.0,4.0,4.0,26.0,16.0,309.0,1017.0,0.0,0.0,149.0,322.0,1029.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,110.5,26.1,27.3,56.8,19.3,23.3,44.2,30.8,17.0,16.6,11.6,25.8,65.2,99.0,10.6,56.9,11.5,2.5,3.5,10.9,17.0,8.2,4.2,5.4,6.9,3.3,27.8,4.1,6.4,8.5,6.2,5.0,7.5,6.2,5.7,2.2,1.2,0.8,4.7,1.0,8.6,5.0,29.4,1.2,3.8,2.7,15.5,7.6,2.0,3.6,0.5,0.7,4.5,1.2,9.5,2.8,1.8,0.1,0.4,4.5,0.2,0.1,0.2,0.0
63,MFS64,0.0,3.0,5.0,3.0,39.0,4.0,4.0,15.0,17.0,3.0,2.0,3.0,9.0,0.0,0.0,27.0,4.0,16.0,3.0,0.0,8.0,17.0,5.0,9.0,9.0,9.0,30.0,0.0,22.0,0.0,0.0,8.0,4.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,13.0,34.0,0.0,6.0,0.0,5.0,2.0,1.0,9.0,39.0,3.0,19.0,4.0,29.0,15.0,14.0,48.0,44.0,0.0,0.0,363.0,72.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,MFS63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,6.0,4.0,19.0,4.0,3.0,13.0,24.0,3.0,0.0,4.0,0.0,4.0,13.0,3.0,8.0,0.0,6.0,0.0,0.0,0.0,8.0,4.0,3.0,9.0,4.0,3.0,0.0,15.0,1.0,1.0,3.0,0.0,0.0,20.0,175.0,3.0,12.0,13.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,MFS67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,MFS68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,MFS69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,MFS70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,MFS71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,PRF01,123.8,227.9,24.1,112.3,47.5,574.6,72.4,98.6,73.4,32.4,21.6,293.4,28.1,48.6,50.0,47.2,21.2,29.9,4.7,1.4,87.1,87.5,67.3,71.6,60.8,109.4,87.8,24.5,36.7,44.3,43.6,120.2,45.7,16.2,81.4,17.3,20.5,16.9,9.4,23.8,104.8,92.5,8.3,38.9,16.6,23.0,63.4,34.2,35.6,38.9,51.5,9.0,14.4,21.2,99.4,35.6,140.4,74.5,0.0,0.0,83.9,58.3,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3706.5,113.3,80.7,102.5,49.7,40.1,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
